m.z,p.value,t.score,mode
782.638,1.39E-31,5.727920455,negative
862.638,9.46E-34,5.165940041,negative
818.674,3.54E-75,4.994711352,negative
672.531,1.08E-81,4.614996616,negative
735.578,9.42E-64,4.333234873,negative
1008.677,5.42E-55,4.234996155,negative
846.704,8.57E-78,4.188817362,negative
888.649,1.28E-73,4.172752707,negative
849.706,5.65E-55,4.065440307,negative
966.65,1.42E-62,4.032798445,negative
693.501,4.99E-70,4.031016223,negative
754.605,1.51E-71,3.879623092,negative
986.673,2.43E-58,3.818703656,negative
866.719,1.98E-72,3.794875463,negative
845.62,6.13E-40,3.763724346,negative
730.611,4.11E-71,3.749235443,negative
864.714,1.29E-72,3.684832408,negative
742.582,2.86E-81,3.46688253,negative
716.565,1.04E-80,3.4590564,negative
134.055,8.83E-68,3.391955299,negative
1020.694,2.92E-39,3.379082549,negative
769.598,3.37E-65,3.337597954,negative
946.662,1.04E-54,3.316718598,negative
627.512,4.48E-56,3.228012259,negative
701.567,3.53E-74,3.179003774,negative
656.548,2.72E-41,3.134433331,negative
184.072,1.74E-41,3.133470975,negative
718.578,1.48E-56,3.034566306,negative
747.559,7.28E-70,3.022039313,negative
643.527,1.29E-41,2.930259094,negative
180.078,1.17E-33,2.882924085,negative
362.13,5.71E-14,2.837846364,negative
768.595,4.52E-63,2.705311135,negative
1092.721,1.34E-14,2.60557278,negative
792.598,1.14E-54,2.604237775,negative
773.577,6.28E-57,2.530101429,negative
151.034,7.37E-50,2.503909295,negative
726.583,1.87E-63,2.450022218,negative
762.597,4.30E-28,2.379741793,negative
740.634,1.22E-21,2.356563489,negative
268.092,2.78E-48,2.353139,negative
757.502,4.31E-43,2.347594149,negative
789.608,4.73E-43,2.263012226,negative
749.571,4.00E-52,2.186345692,negative
733.556,1.02E-14,2.136865163,negative
714.611,1.90E-22,2.129426134,negative
1008.759,1.92E-30,1.967548134,negative
291.136,9.12E-19,1.766690025,negative
307.147,0.000133357,1.720589765,negative
656.251,7.10E-07,1.658798382,negative
181.058,2.75E-05,1.590611433,negative
771.683,1.43E-12,1.468837201,negative
227.117,6.31E-21,1.351558706,negative
667.319,1.71E-11,1.337782046,negative
365.199,0.010248758,1.121585124,negative
171.111,1.79E-05,1.110736162,negative
217.316,4.91E-06,1.10151018,negative
650.177,2.06E-37,-1.257180669,negative
842.751,0.000254137,-1.37800012,negative
890.758,6.65E-06,-1.782624872,negative
889.759,5.41E-15,-2.4455699,negative
896.799,1.14E-20,-2.609488548,negative
811.706,1.27E-22,-3.420426372,negative
924.832,2.98E-18,-3.463141613,negative
